maturity,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24
2.8333333333333335,0.02331184289367827,0.02315941568040758,0.021937030594414653,0.024094013027537997,0.02546498264280639,0.025034460639369316,0.025160431861569688,0.027298523715518996,0.02882315975647054,0.02882315975647054,0.02882315975647054,0.02882315975647054,0.02886779770487169,0.028598582224471425,0.02832920028006236,0.028059656101739883,0.027789953948979207,0.027520098110790592,0.02725009290587943,0.026979942682805902,0.02670965182014795,0.02643922472666449,0.02616866584146349,0.02589797963416718,0.02562717060508435
2.9166666666666665,0.0234026076849434,0.02324453132298232,0.02199306830945691,0.02419192495548761,0.025567906763569903,0.025106062835793086,0.02521994832982477,0.027379756490794938,0.028915966550642436,0.028915966550642436,0.028915966550642436,0.028915966550642436,0.028961865509031348,0.02868675623261252,0.028411482301871294,0.02813604804713621,0.027860457827955987,0.027584716033251855,0.02730882708147253,0.027032795420749434,0.026756625529055666,0.026480321914365,0.02620388911481486,0.02592733169886907,0.02565065426548374
3,0.02349277884768508,0.023329115893446106,0.022048899955552592,0.024289170614815836,0.02567012334469876,0.025177301378923378,0.025279237718285552,0.027460536614386966,0.029008209282398445,0.029008209282398445,0.029008209282398445,0.029008209282398445,0.029055356223325557,0.02877441367789224,0.02849330880678269,0.028212046037463745,0.02793062982639727,0.02764906465918493,0.02736735505072052,0.027085505545339617,0.026803520716974116,0.02652140516930679,0.026239163535930254,0.025956800480503306,0.025674320696915
3.0833333333333335,0.023582359388435004,0.023413172125890336,0.022104526914091593,0.024385753273325594,0.02577163569580776,0.025248178185727,0.025338301430317678,0.02754086619860896,0.029099890335397838,0.029099890335397838,0.029099890335397838,0.029099890335397838,0.029148272273667564,0.02886155679652913,0.028574681841011973,0.028287651928530222,0.02800047160919883,0.027713145461974564,0.02742567809480234,0.027138074144761326,0.02685033827821348,0.026562475190954338,0.02627448960836598,0.02598638628557004,0.025698170007585563
3.1666666666666665,0.023671352380565613,0.02349670282041183,0.022159950619190072,0.024481676267258612,0.02587244719735282,0.02531869523879693,0.025397140928908435,0.027620747428042325,0.029191012169932362,0.029191012169932362,0.029191012169932362,0.029191012169932362,0.029240616162787836,0.028948187900400102,0.028655603524732065,0.028362867647850898,0.028069984910165324,0.02777695998056151,0.02748379755654473,0.02719050236437992,0.02689707915923578,0.02660353272532978,0.026309867876076698,0.026016089454237168,0.025722202332069566
3.25,0.02375976094865373,0.023579710828570022,0.022215172549039153,0.024576942984213312,0.025972561282452622,0.02538885457421336,0.025455757726931427,0.027700182545303598,0.029281577306350393,0.029281577306350393,0.029281577306350393,0.029281577306350393,0.029332390453413515,0.02903430936136897,0.028736076037560343,0.028437695181308786,0.028139171519853567,0.027840509808483294,0.027541714830671804,0.02724279139821273,0.026943744351360488,0.02664457855896818,0.02634529891863302,0.026045910356836677,0.02574641782909559
3.3333333333333335,0.023847588255297536,0.023662199041114995,0.022270194218578343,0.024671556848758325,0.026071981421577517,0.025458658271278134,0.025514153378901616,0.027779173839014293,0.02937158831105835,0.02937158831105835,0.02937158831105835,0.02937158831105835,0.029423597754066666,0.02911992359804616,0.028816101606290667,0.028512136561869017,0.028208033275282762,0.027903796584590523,0.027599431355539883,0.02729494248169617,0.026990334884577694,0.02668561351378984,0.02638078334716365,0.02607584939089258,0.025770816679675734
3.4166666666666665,0.023934837489987704,0.02374417037761889,0.02232501717327451,0.024765521310294858,0.02617071110963587,0.02552810844381259,0.025572329473975364,0.027857723633612386,0.029461047784679284,0.029461047784679284,0.029461047784679284,0.029461047784679284,0.029514240707051442,0.029205033064580332,0.028895682494500807,0.028586193860014042,0.028276572051205706,0.02796682198516698,0.027656948606119114,0.027346956885538676,0.02703685182228588,0.026726638442734485,0.026416321800904363,0.026105906978593385,0.02579539908551598
3.5,0.024021511859674716,0.02382562777767938,0.022379642983819226,0.024858839832782698,0.026268753855045013,0.02559720723275305,0.025630287629981208,0.027935834280687688,0.029549958351996253,0.029549958351996253,0.029549958351996253,0.029549958351996253,0.029604321978254022,0.029289640241134896,0.028974820993714845,0.028659869175599706,0.02834478975267296,0.028029587717211424,0.0277142680880047,0.02739883591047443,0.027083296256798395,0.026767654226034,0.026451914944245924,0.026136083564633372,0.02582016526766262
3.5833333333333335,0.024107614580760828,0.02390657419343989,0.02243407324159552,0.0249515158860234,0.026366113170460892,0.025665956799832523,0.025688029488314168,0.028013508151596644,0.029638322653387617,0.029638322653387617,0.029638322653387617,0.029638322653387617,0.029693844248459556,0.029373747625772495,0.02905351941586498,0.028733164630907027,0.02841268830868171,0.028092095512695536,0.02777139133229256,0.027450580882769415,0.0271296693054921,0.02680866176801544,0.02648756346420611,0.026166379614362967,0.02584511546534629
